customer_id,run_id,num_baristas,arrival_time,service_start,service_end,waiting_time,service_time,system_time
93,0,3,301.548,301.548,305.5822,0.0,4.0342,4.0342
89,0,3,290.9518,290.9518,306.0504,0.0,15.0986,15.0986
94,0,3,311.5271,311.5271,314.948,0.0,3.4209,3.4209
96,0,3,315.3485,315.3485,315.948,0.0,0.5995,0.5995
97,0,3,316.282,316.282,316.5734,0.0,0.2914,0.2914
95,0,3,314.2385,314.2385,317.8506,0.0,3.6121,3.6121
98,0,3,317.0757,317.0757,318.0798,0.0,1.004,1.004
99,0,3,318.3591,318.3591,318.4042,0.0,0.0451,0.0451
102,0,3,323.0116,323.0116,323.2782,0.0,0.2667,0.2667
100,0,3,321.8887,321.8887,325.2349,0.0,3.3462,3.3462
101,0,3,322.6963,322.6963,326.0793,0.0,3.3829,3.3829
104,0,3,327.3086,327.3086,327.3525,0.0,0.044,0.044
103,0,3,323.8295,323.8295,329.919,0.0,6.0894,6.0894
105,0,3,331.6113,331.6113,335.9928,0.0,4.3816,4.3816
108,0,3,335.9568,335.9928,336.4659,0.036,0.4731,0.5091
107,0,3,334.7084,334.7084,337.3592,0.0,2.6508,2.6508
106,0,3,333.0132,333.0132,338.9148,0.0,5.9016,5.9016
109,0,3,342.7494,342.7494,344.6758,0.0,1.9263,1.9263
110,0,3,343.1839,343.1839,346.8575,0.0,3.6735,3.6735
111,0,3,349.0732,349.0732,349.5151,0.0,0.4419,0.4419
112,0,3,349.2959,349.2959,351.1128,0.0,1.8169,1.8169
113,0,3,350.6486,350.6486,351.2396,0.0,0.591,0.591
114,0,3,354.1933,354.1933,354.3361,0.0,0.1428,0.1428
117,0,3,362.3003,362.3003,363.5237,0.0,1.2234,1.2234
115,0,3,358.6458,358.6458,363.6661,0.0,5.0203,5.0203
118,0,3,363.4246,363.5237,366.5757,0.0991,3.052,3.1512
116,0,3,361.4434,361.4434,368.1408,0.0,6.6973,6.6973
119,0,3,366.1011,366.1011,368.5038,0.0,2.4026,2.4026
120,0,3,368.5033,368.5033,368.8315,0.0,0.3283,0.3283
121,0,3,369.7585,369.7585,371.3897,0.0,1.6312,1.6312
122,0,3,373.3925,373.3925,380.4619,0.0,7.0694,7.0694
124,0,3,382.2689,382.2689,383.4053,0.0,1.1364,1.1364
125,0,3,383.277,383.277,384.3336,0.0,1.0566,1.0566
